path	resolution	group	reason
publication/zenodo_reproduction_v001/CLAUDE.md	selected_approved	07_zenodo_scaffold	read-only reviewer operating contract is referenced by the packet manifest and navigation
publication/zenodo_reproduction_v001/release_inputs/relational_accumulation_public.py	selected_approved	07_zenodo_scaffold	path-neutral public projection is required by the authenticated URM validator dependency closure
AUDIT_R_L12_PARALLEL_EXECUTION_V001/HOSTILE_V004R4_WORKER_READY_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
AUDIT_R_L12_PARALLEL_EXECUTION_V001/HOSTILE_V004R4_WORKER_RELEASE_ACK_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
AUDIT_R_L12_PARALLEL_EXECUTION_V001/HOSTILE_V004R4_WORKER_RELEASE_COMMAND_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
AUDIT_R_L12_PARALLEL_EXECUTION_V001/TARGET_V012_WORKER_READY_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
AUDIT_R_L12_PARALLEL_EXECUTION_V001/TARGET_V012_WORKER_RELEASE_ACK_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
AUDIT_R_L12_PARALLEL_EXECUTION_V001/TARGET_V012_WORKER_RELEASE_COMMAND_V001.json	exclude	-	raw worker handshake or relaunch allocation state is operational journal data, not a proof input
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V002/comparison/001800__PRE_GATE_COMPARISON.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V002/histories/000904__ROUGH_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V002/histories/001798__SHARP_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V002/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V002/lifecycle/001801__BRANCH_REFUSAL.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003/lifecycle/000001__JOURNAL_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003/lifecycle/000002__V003_NUMERICAL_REPAIR_OPEN.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003/lifecycle/000003__BRANCH_REFUSAL.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003R1/comparison/001354__PRE_GATE_COMPARISON.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
AUDIT_R_L12_PREFIX_HISTORY_ENGINE_V001/V004R4_EVIDENCE/L12_PROCESS_PARALLEL_V003R1/histories/000902__ROUGH_SUMMARY.json	exclude	-	generated execution journal summary duplicates selected canonical histories, gates, or audit records
