path	git_state	disposition	group	reason	review_required
.gitignore	tracked_modified	selected	01_repository_hygiene	exact path admitted to proposed Git update commit group	-
ALPHA_PROGRAM_PROVENANCE_2026-09-15.md	untracked	selected	06_urm_and_proof_reconciliation	exact path admitted to proposed Git update commit group	-
ARGER_GATE_ADOPTION_2026-09-16.md	untracked	selected	04_cross_scale_physical_products	exact path admitted to proposed Git update commit group	-
AUDIT_L4_L12_EXTENDIBLE_RECORD_BLOCK_THEOREM_2026-09-16.md	untracked	selected	04_cross_scale_physical_products	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_A06_INDEPENDENT_AUDITOR_V001/SOURCE_FREEZE_V001.json	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_AUTHORIZATION_STATE_MODEL_V001/MANIFEST.sha256	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_AUTHORIZATION_STATE_MODEL_V001/README.md	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_AUTHORIZATION_STATE_MODEL_V001/RESULT.json	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_AUTHORIZATION_STATE_MODEL_V001/VERIFICATION.txt	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_AUTHORIZATION_STATE_MODEL_V001/authorization_model.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_AUTHORIZATION_STATE_MODEL_V001/exhaustive_check.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/MANIFEST.sha256	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/README.md	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/RESULT.json	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/VERIFICATION.txt	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/dual_launch_coordinator.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/production_dual_l12_launcher.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/synthetic_fixtures.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/test_dual_launch_coordinator.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_DUAL_LAUNCH_COORDINATOR_V001/test_production_dual_l12_launcher.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_FINAL_A26_BRIDGE_V001/SOURCE_FREEZE.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_FINAL_A26_BRIDGE_V001/build_final_a26.py	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_FINAL_A26_BRIDGE_V001/test_build_final_a26.py	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/ADJUDICATION_RECORD_V001.json	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/MANIFEST.sha256	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/README.md	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/VERIFICATION.txt	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/independent_final_auditor.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/production_dag_refinement.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/production_evidence_orchestrator.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/stage1_artifact_census.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/synthetic_upstream_authority_fixtures.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_PRODUCTION_DAG_REFINEMENT_V001/test_production_dag_refinement.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_STAGE3_ENTRY_V001/README.md	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_STAGE3_ENTRY_V001/SOURCE_FREEZE.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_STAGE3_ENTRY_V001/independent_a20_auditor.py	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_STAGE3_ENTRY_V001/production_dual_l12_launcher_candidate.py	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_STAGE3_ENTRY_V001/stage3_entry_adapter.py	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_STAGE3_ENTRY_V001/test_stage3_entry_adapter.py	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_TARGET_STORAGE_CACHE_V012/AUDIT_OBLIGATIONS_V001.json	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_TARGET_STORAGE_CACHE_V012/MANIFEST.sha256	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_TARGET_STORAGE_CACHE_V012/METHODOLOGY.md	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_TARGET_STORAGE_CACHE_V012/VALIDATION_RESULT_V001.json	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_PREPARATION_R_L12_TARGET_STORAGE_CACHE_V012/validate_obligation_spec.py	untracked	selected	02_l12_execution_control_foundation	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/A01_A18_SAFE_REPLAY_PLAN_V001.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/A18_REPAIR_SELF_TEST_RESULT_V001.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/EXISTING_STACK_OBSTRUCTION_CUSTODY_V001.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/FAILED_CACHE_OBSTRUCTION_CENSUS_V003.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/FAILED_CACHE_OBSTRUCTION_CUSTODY_V003/FAILED_CACHE_CUSTODY_INTENT_V003.json	untracked	excluded	-	duplicated nested custody or retired tree	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/FAILED_CACHE_OBSTRUCTION_CUSTODY_V003/FAILED_CACHE_CUSTODY_RECEIPT_V003.json	untracked	excluded	-	duplicated nested custody or retired tree	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V001.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V002.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V003.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V004.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V005.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V006.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_CANDIDATE_RESULT_V007.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_SOURCE_FREEZE_V001.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_SOURCE_FREEZE_V002.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_SOURCE_FREEZE_V003.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_SOURCE_FREEZE_V004.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
AUDIT_R_L12_EXISTING_STACK_A18_REPAIR_V001/REPLAY_SOURCE_FREEZE_V005.json	untracked	selected	03_l12_repair_and_adjudication	exact path admitted to proposed Git update commit group	-
